Name,Type,Latitude,Longitude
Pankaj Society,apartment,18.5092277,73.816065
Bhalchandra,apartment,18.5093022,73.8162847
Shrikunjshri,apartment,18.5089814,73.816227
Sai Residency,apartment,18.4483266,73.8154752
Kalyan Gate,viewpoint,18.3625613,73.7538176
Pune Gate,viewpoint,18.3655651,73.7592159
Bharat Vihar,apartment,18.5014406,73.8271366
Shiv Shahi Complex,apartment,18.455644,73.8274524
Dnyaneshwari Niwas,apartment,18.4485789,73.8330073
Vrundavan Vihar,apartment,18.4476636,73.8296609
Chandrat,apartment,18.5065163,73.818248
Vijaya Smruti,apartment,18.5038408,73.8184076
Saumitra,apartment,18.5009137,73.8268467
Mukta Residency,apartment,18.5382765,73.7823084
Jagdamba Apartment,apartment,18.5370044,73.7828474
Vitthal Complex,apartment,18.4510205,73.8298454
Lake Vintage,apartment,18.5368784,73.7828508
Bhakti Apartment,apartment,18.537304,73.7828828
Wonder Futura,apartment,18.4984881,73.7902975
Satyam Shrey,apartment,18.5209055,73.7699445
Shree Swami Landmark,apartment,18.4488879,73.8325804
Kumar Resort and Water Park,hotel,18.7538991,73.404062
Hotel Abhijeet New Sweet Home,hotel,18.5135819,73.8518395
points hostel Diat pune,hostel,18.4173415,73.7644103
Courtyard Marriott,hotel,18.7452325,73.7885028
Ginger hotel,hotel,18.6075994,73.7515903
Conrad Pune,hotel,18.5351646,73.8831426
Marriott Suites Pune,hotel,18.5334614,73.9106668
DRDO Diat Guest House ,guest_house,18.4294917,73.7692929
cloud 9,camp_site,18.4772699,73.9107243
royal,hotel,18.515394,73.8666084
Treebo Hotels Guest House,hotel,18.53323,73.8873459
Apple Tree,hotel,18.5316743,73.8970091
Atmantan Wellness Centre,hotel,18.4769705,73.4902937
Hill View,hotel,18.5119124,73.5167022
Jayshree hotel,hotel,18.143626,73.8498054
Hotel Madhav,hotel,18.755229,73.859197
Annapurna Hotel,hotel,18.7540118,73.4062485
Udipi Refreshment,hotel,18.7542953,73.4064654
Lonavla Restaurant,hotel,18.7540509,73.4055713
"Kumar Resort, Lonavala, Maharashtra",hotel,18.7526603,73.4054072
Retreat Heritage,hotel,18.7522546,73.4053519
SBI Holiday Home,guest_house,18.7473713,73.3972944
Reywood Retreat Motels,motel,18.747858,73.3988117
Hotel Samrat,hotel,18.7554389,73.8589438
Mangesh Hotel,hotel,18.7574148,73.3888181
Meghalaya HUL Guest House,guest_house,18.7575334,73.3885194
Hotel Mayur Sterling Resorts,hotel,18.7588169,73.3885383
Leisure Vacations Mayur Emerald,hotel,18.7590651,73.3941721
Hotel Ratan Executive,hotel,19.2075605,73.8668604
Hotel Janjira,hotel,18.7571819,73.8616655
OYO 6432 Strand Resort,hotel,18.7575923,73.3998888
hotel krishna,hotel,18.7593067,73.4027659
Maher Orphan,hostel,18.8309254,74.3579765
kk Appartment,apartment,18.7483969,73.4069664
hotel durga lunch home,hotel,18.278916,74.1629272
Hotel Kohinoor Jejuri,hotel,18.2787709,74.1617913
Ambrai lodge,hotel,18.2739212,74.1557989
Hotel Tejas,hotel,18.4605083,74.5827386
Hotel Mukesh,motel,18.5175829,73.8745041
Bhuta Lena,attraction,19.1926745,73.8738401
Tulja Lena,attraction,19.2082016,73.8361652
Venky PG,hostel,18.5950211,73.7325957
Asraya PG,hostel,18.5947156,73.732584
Yash Laxmi Numismatic Museum,museum,18.4919917,73.8236524
Konark Towers,apartment,18.5749676,73.7735673
Ratwa Resort,hotel,19.0795358,73.5711882
Hotel Sahayatra,hotel,19.0514155,73.8321255
Hotel Anand,hotel,19.0454688,73.8374577
Manoranjan Hotel,hotel,18.991412,73.9425279
Aahar Resto - Hotel,hotel,18.9912662,73.9425212
Vib O Stay,hostel,18.5415046,73.8903724
Holiday Inn Express Pune Pimpri,hotel,18.6282118,73.8075688
Hotel Royal Palace,hotel,18.5253347,73.8495974
Ranadeep Lodge,motel,18.5309914,73.8756484
Treebo Ranjana's,hotel,18.6038733,73.7539775
International Girls Hostel,hostel,18.5569591,73.822172
Sinhagad Valley,viewpoint,18.3773169,73.7688583
Hill Top,hotel,18.7555952,73.8557563
Stonarc,hotel,18.7549422,73.8531722
Rajratna Executive,hotel,18.8092852,73.8741074
Hoshtel99 - Prime - bunks and private rooms,hostel,18.541047,73.8909657
GoodLuck,hotel,18.7609006,73.8590401
Keys Hotel,hotel,18.631858,73.8015798
Bhopdeo Ghat Viewpoint,viewpoint,18.4153987,73.9055864
Tiger Point,viewpoint,18.6958773,73.3851987
Monkey Point,viewpoint,18.7013067,73.3885276
Nishigandha,hotel,18.5232218,73.8530683
Meghbindu Boys' Hostel,hostel,18.6110574,73.7597473
Altamount Villa,guest_house,18.7729348,73.4029589
लेण्याद्री च्या लेण्या,attraction,19.2433855,73.8873709
Lakevilla,guest_house,18.4304461,73.8367335
Gavkos,motel,18.399409,73.6684665
Meritas Countryside Resort,hotel,18.7526528,73.4222363
Yetoba,viewpoint,19.1691072,73.5439915
Dr. Babasaheb Ambedkar Statue,artwork,18.5475079,73.8262737
Mahatma Jyotirao Phule statue,artwork,18.5548845,73.8232525
Chhatrapati Shivaji Maharaj statue,artwork,18.5445393,73.8284233
57. Lorraine.,guest_house,18.5092824,73.9085467
Agnipankh Flamingo Point,guest_house,18.2707862,74.795066
Chhatrapati Sambhaji Maharaj statue,artwork,18.5156965,73.8421485
Book sculpture,artwork,18.5202151,73.8305024
Pen sculpture,artwork,18.5251385,73.829486
Bharat Mata,artwork,18.6075502,73.3842228
Krantijyoti Savitribai Phule statue,artwork,18.5530175,73.8251377
Chhatrapati Shivaji Maharaj statue,artwork,18.5377589,73.7958487
Dr. Babasaheb Ambedkar statue,artwork,18.5603766,73.803145
Warkari Statue,artwork,18.5202209,73.7786115
Chhatrapati Smaran Shilp,artwork,18.5178337,73.7800815
Central Government Touring Officers Guest House,guest_house,18.495322,73.8621703
राजस्थानी होटल रंजनगांव,hotel,18.7422951,74.2293543
Jackiline School Of Thought,camp_site,18.6103724,73.5810147
Ambience,hotel,18.6002848,73.775589
Ambedkar statue,artwork,18.2781062,74.1613971
Statue,attraction,18.4158485,74.0064916
D Building,apartment,18.5544314,73.7592528
Hotel Muktai Veg & Non Veg,hotel,18.4445206,73.7854961
Mejwani pure veg,hotel,18.4445889,73.7855709
Chhatrapati Shivaji Maharaj Statue,artwork,18.3472034,74.0287703
International Boys Hostel,hostel,18.5576098,73.8222612
hotel5,hotel,18.6083116,73.9112408
Sri Ganesh Art,artwork,18.4435808,73.7857026
Sanewadi Schematic Map,information,18.5542678,73.8079194
Dhak Bahiri Viewpoint,viewpoint,18.8555965,73.4316646
The Arboreal,hotel,18.6786942,73.4215439
Boys Hostel - NO 9,hostel,18.5585355,73.8229385
Hostel No. 6,hostel,18.5587782,73.822226
Aashirwad Complex,apartment,18.4865721,73.8231291
Sujit Aquariums,aquarium,18.50149,73.813757
शिवाजी महाराज,artwork,18.6144105,73.7795491
Jivansandhya Hotel,hotel,19.1272657,73.9849485
Chhatrapati Shivaji Maharaj Statue,artwork,18.4735694,73.9749169
Symbiosis Girls Hostel,hostel,18.6617676,73.7163106
भक्ति शक्ती शिल्प,artwork,18.6643994,73.7712303
Raj Mahal,hotel,18.49755,73.8538827
Pratham Society Rules,information,18.6051282,73.7700786
Pratham Society Location Map,information,18.60514,73.7700626
Smita PG,hostel,18.5957982,73.7639135
Chatrapati Shivaji Maharaj,artwork,18.5021281,73.8134891
छत्रपती शिवाजी महाराज,artwork,18.5877228,73.8323293
FabExpress SRH,hotel,18.5950724,73.730659
Treebo Trend Niraali Executive,hotel,18.5854133,73.7313554
Petals PG,hostel,18.5791538,73.7236586
Birajdar PGs,hostel,18.5798695,73.7229281
Ibis Hinjawadi,hotel,18.5961238,73.7174831
Mhatoba Chowk,information,18.5951434,73.7682277
Indrayani boys hostel,hostel,18.669597,73.8911824
chaitanya lodge,chalet,18.6708047,73.8912926
OYO Flagship IT Park,hotel,18.5855164,73.7404677
Zolo Encore Co-Living PG,hostel,18.5863521,73.7421085
Stanza Living Tallinn House,hostel,18.5849945,73.7408902
HelloWorld Embassy.,hostel,18.584953,73.7403353
Balaji PG,hostel,18.5982562,73.764358
Apapa Idali Dosa Center,hotel,18.6125864,73.762636
Mauli PG,hostel,18.5978008,73.7646377
Balaji PG,hostel,18.5979032,73.7651358
Gurudatta PG,hostel,18.5979409,73.7643817
Mauli PG,hostel,18.5978165,73.7641114
Om Shiv Sai PG,hostel,18.5979393,73.7642128
O Hotel Pune,hotel,18.5398003,73.8877419
Ravi Park,apartment,18.4937965,73.898579
Parmar Park,apartment,18.4942434,73.8996812
Mahi Dhaba,hotel,18.5827075,73.7397323
"I2IT,Hostel",hostel,18.5847436,73.7360233
swa rashtra,hotel,18.5844788,73.7311584
isquareit girls hostel (Mithila hostel),hostel,18.5841405,73.7362529
Shree Inn,hotel,18.5883877,73.7412591
Nana Shri Hotel,hotel,18.6107793,73.7922832
Hotel Haveli,hotel,18.6344931,73.8493801
Chhatrapati Shivaji Maharaj Statue,artwork,18.3492001,73.7952393
Aarusha Homes,hostel,18.5842739,73.7383583
महादेव,artwork,18.5776827,73.8194793
छत्रपती शिवाजी महाराज,artwork,18.6029723,73.7959525
Exit,information,18.4908489,73.8281764
दगडू पाटील नगर,information,18.6118337,73.7780106
Siya Girls' Hostel,hostel,18.5102342,73.7931052
महाबुद्ध विहार चौक,information,18.58929,73.7616733
Rohan Viti,information,18.5911541,73.7617966
Hotel Kinara,hotel,18.7620318,73.4548067
किल्ले राजमाची गोधनेश्वर मंदिर,information,18.8210214,73.3937421
हॉटेल आर्यन,hotel,18.8257894,73.3948208
कोंडाणे लेणी मार्गे कोंदिवडे गावाकडे पायवाट,information,18.8257696,73.3949037
काळभैरव मंदिर. ग्रामसंस्थेचे श्रद्धास्थान,information,18.8292467,73.3972727
हॉटेल अतुल,hotel,18.8256955,73.3947928
जुने गावठाण उधेवाडी,information,18.8257573,73.3949276
पर्यटक माहिती केंद्र,information,18.8256989,73.3949993
Padmabhushan Chauk,information,18.5944567,73.7287818
साई बाबा,artwork,18.5828348,73.5140064
संत दर्शन,attraction,18.5830645,73.5142798
शिवमुद्रा,artwork,18.6144152,73.779584
Hatti,artwork,18.6145506,73.780584
Executive Tamanna,hotel,18.5857369,73.7349768
Samadhan Lakeside Resort and Cafe,hotel,18.6890257,73.4753118
Amruta Ladies hostel,hostel,18.6387663,73.7913855
Show Information,information,18.633789,73.787399
Grand Regency PG,hostel,18.588118,73.7413119
Zolo Highrollers,hostel,18.5879042,73.74053
Bhakti PG Apartment,hostel,18.5850505,73.7401921
Thakur PG,hostel,18.5852341,73.7408325
Zolo House of Black Beard,hostel,18.5551906,73.7980591
OYO Vys Inn,hotel,18.5553113,73.7978999
Chhatrapati Shivaji Maharaj Statue,artwork,18.1440053,73.8463292
YKS Sizzlers,hotel,18.509757,73.8343856
Highland Resort,hotel,18.7552384,73.4040932
Chatrapati Shivaji Maharaj,artwork,18.5749563,73.7608224
Ghodaa,artwork,18.6297234,73.8027328
CherryBerry PG Services,hostel,18.5648147,73.8041514
Nira Deoghar Dam,viewpoint,18.0561485,73.6983012
Dr Babashaheb Ambedkar Statue,artwork,18.5792093,73.8305195
Sardar Bhagtsing Statue,artwork,18.5802235,73.8343146
Chhatrapati Shivaji Maharaj Statue,artwork,18.5791118,73.8294125
Hotel Uday Dhaba,hotel,18.2258422,74.8333897
Hotel Surya,hotel,18.2307052,74.7742488
Hotel Madhuban - Veg,hotel,18.2300822,74.7733616
Shree Veg,hotel,18.2314268,74.7729888
Shivar Nonveg,hotel,18.2314448,74.7726679
Samadhan Mutton Khanawal,hotel,18.6355676,73.7501222
Oyo Kamini,hotel,18.6327503,73.7847402
Hotel Sheetal,hotel,18.5276184,73.8427918
Kamgar Putala,artwork,18.5282334,73.8563012
Hotel Lotus,hotel,18.536234,73.8970481
Hotel Centro,hotel,18.5224671,73.8441616
Hotel Arusai,hotel,18.5967799,73.9076094
Atharva aquarium,aquarium,19.1205416,73.9711114
"Aura Celestia - Bar, Kitchen & Celebration",hotel,18.4604555,73.7862933
AQUARIUS Resort & Lawns,hotel,18.4291281,73.7556585
Hyatt Regency Pune,hotel,18.5594575,73.9119574
GAIA Ekole,camp_site,18.5465378,73.3636311
Taljai Watch Tower,attraction,18.4842783,73.8470923
H.A. Hotel,hotel,18.625453,73.8118102
ICAR-NRC Grapes,guest_house,18.4939073,73.9837011
Petunia,hostel,18.5318929,73.7307609
Lotus,hostel,18.5317001,73.7319132
Calendula,hostel,18.5320803,73.7337407
Nalanda,hostel,18.5590625,73.8248414
Galileo,artwork,18.5594407,73.8251362
Aryabhata,artwork,18.5592677,73.8253277
Einstein,artwork,18.5594568,73.8254748
Newton,artwork,18.5596066,73.8252458
Sunset Point,attraction,18.748594,73.6744216
Kohinoor PG,hostel,18.595002,73.7327927
Travotale Hostel and CoWork,hostel,18.5404378,73.8913899
Vaanarlingi,viewpoint,19.2746297,73.6829285
Forest Rest House,wilderness_hut,19.0752783,73.5375652
Neemgiri Hanumantgad Viewpoint,viewpoint,19.2809105,73.7852417
Sanket Hotel,hotel,19.3772749,73.8078158
Dev Daubdya Viewpoint,viewpoint,19.3196703,73.7463552
Doni Cha Daar Virwpoint,viewpoint,19.2043243,73.6295327
Ghat Viewpoint,viewpoint,19.2394083,73.6734527
Forest Hut,wilderness_hut,19.0998178,73.5193593
HARIYALADAMMA ENTERPRISES,hotel,18.6632379,73.7295559
Siddeshwar hotel,hotel,18.6604599,73.7310043
Regenta,hotel,18.648223,73.7883785
Lagoon,attraction,18.6247415,73.3981363
Giant Swings,attraction,18.6232139,73.3981022
Supreme Cottage,hotel,18.6145167,73.387181
FabHotels FabExpress The Corporate Hub,hotel,18.5673619,73.7752769
The Highstreet Legacy,hotel,18.5673278,73.7753078
Harita Comfort Inn PG,hostel,18.5691825,73.7784519
Sunshine Paradise PG,hostel,18.5693761,73.7793661
Hotel Yellow House,hotel,18.5691742,73.7805725
Youthville Co-Living PG (Balewadi 1),hostel,18.5749433,73.7753443
mumbai point,attraction,18.3856577,73.4255508
Madhushalini Boys Hostel,hostel,18.4628978,73.8797755
Hotel Crown Imperial,hotel,18.7124594,73.8488019
Hindubhushan shree. Chhatrapati sambhaji maharaj smarak moshi PCMC,artwork,18.660825,73.8437842
Chatrapati Shivaji Maharaj's Rajwada,attraction,18.2455657,73.6823254
Zunzar Machi,attraction,18.2768734,73.6269607
I Love Delight Chinese,hotel,18.7615595,73.5583511
Royal Chinese Centre,hotel,18.7621874,73.5585618
Rupa Lodge,hotel,18.6993374,73.6980498
Maval Food Junction,hotel,18.7626538,73.5588775
Agro tourism Camping,camp_site,18.6885193,73.4786913
Chhatrapati Shivaji Maharaj Statue,artwork,18.4451817,73.8096783
Shivshambhu tirth,artwork,18.7260335,73.6799683
Hygiene hotel,hotel,18.5441362,73.8780455
Kwality Biryani,hotel,18.5774292,73.8763353
Shivneri Food Mall,hotel,18.2759028,74.2859039
Hotel Krishna,hotel,18.2781183,74.2592376
Vithu Mauli Dhaba,hotel,18.284235,74.1430639
Shree Vitthal Dhaba,hotel,18.2845631,74.1422451
Hotel Maharaja,hotel,18.2840761,74.1435593
Mauli Dhaba,hotel,18.2880032,74.131544
Hotel Agatya,hotel,18.2906765,74.1247934
Shri Samarth Snacks Centre,hotel,18.7624703,73.5591584
Hotel kunal garden,hotel,18.6647232,73.8881187
Hotel prathamjay,hotel,18.6579324,73.8854431
Shree Chhatrapati Shivaji Maharaj,artwork,19.2060778,73.8668145
Aanand Hotel Pure Veg,hotel,19.2062554,73.8631442
Jamshet Ji Tata Statue,artwork,18.6449874,73.8141011
Holiday Inn Express,hotel,18.5920504,73.742875
Mokhshitha Reddy Studio Rooms PG,hostel,18.5922722,73.743225
Lashika's house,guest_house,18.5533805,73.9644795
Chhatrapati Shivaji Maharaj Statue,artwork,18.5264725,73.8532626
Shivaji Maharaj Statue,artwork,18.5264724,73.8532934
The Golden Arc Boutique Hotel,hotel,18.5527401,73.8972489
Ghode House Dhanori,guest_house,18.5886026,73.8916888
Lord Ram,artwork,18.4507183,73.8839612
Novotel,motel,18.5588312,73.9109972
Prince Regency,hotel,18.5454264,73.8856519
Govind Hari Vadevale,hotel,18.7876225,73.7755962
Vrindavan Misal,hotel,18.7874691,73.7757069
Rahul Biryani,hotel,18.7877064,73.7740049
Vaibhav Hotel,hotel,18.7883792,73.7747826
Sadguru Wade Wale And Special Missile House,hotel,18.7874204,73.7738902
Om Sai Khanaval,hotel,18.7878163,73.776098
Advait Biryani,hotel,18.7875106,73.7756638
Pride,hotel,18.5311147,73.8471648
Kunal Hotel,hotel,18.6109879,73.7836345
Network Point (Jio),viewpoint,18.83819,73.4226184
Nagphani,viewpoint,19.0628581,73.5311139
Mumbai Point,viewpoint,18.3855471,73.4255192
Viewpoint,viewpoint,18.2752453,73.5339217
Wadia College boys hostel,hostel,18.5342113,73.8805195
Sheraton Grand,hotel,18.529972,73.8717672
